Modelo,Ano,Preço,KM,Estado
 Audi Q3 TFSI ATTRACTION ,2018, R$ 132.799 ,50750,Minas Gerais
 Jeep Compass SPORT ,2017, R$ 92.299 ,61100,Minas Gerais
 Jeep Compass LIMITED ,2019, R$ 125.299 ,52236,Minas Gerais
 Land Rover Discovery Sport SI4 TURBO SE ,2016, R$ 138.499 ,71140,Minas Gerais
 Citroën C4 Lounge S TURBO ,2017, R$ 62.499 ,86800,Minas Gerais
 Jeep Renegade LONGITUDE ,2017, R$ 75.299 ,48600,Minas Gerais
 Volkswagen Golf TSI GTI TURBO ,2016, R$ 136.799 ,93500,Minas Gerais
 Hyundai Creta PRESTIGE ,2018, R$ 97.799 ,47040,Minas Gerais
 Jeep Compass LONGITUDE ,2020, R$ 156.499 ,16510,Minas Gerais
 Chevrolet Tracker TURBO LT ,2018, R$ 83.799 ,51130,Minas Gerais
 Audi Q3 TFSI ATTRACTION PLUS ,2017, R$ 114.799 ,48200,Minas Gerais
 Volkswagen Gol MI ,2013, R$ 33.799 ,83000,Minas Gerais
 Jeep Renegade LONGITUDE ,2016, R$ 70.999 ,81000,Minas Gerais
 Bmw 320i SPORT GP TURBO ACTIVE ,2015, R$ 108.999 ,95750,Minas Gerais
 Volkswagen Jetta TSI HIGHLINE ,2014, R$ 73.799 ,101000,Minas Gerais
 Chevrolet Cruze LTZ ,2013, R$ 56.499 ,82310,Minas Gerais
 Mercedes Benz A 200 TURBO STYLE ,2013, R$ 77.799 ,95423,Minas Gerais
 Honda Civic ONE EX ,2017, R$ 100.799 ,36300,Minas Gerais
 Volkswagen Crossfox MI ,2011, R$ 38.799 ,93500,Minas Gerais
 Hyundai ix35 MPFI GL ,2018, R$ 93.299 ,68000,Minas Gerais
 Volkswagen Gol MSI TOTAL ,2020, R$ 52.799 ,22390,Minas Gerais
 Jeep Renegade LONGITUDE ,2016, R$ 70.799 ,89245,Minas Gerais
 Honda City LX ,2016, R$ 66.999 ,69260,Minas Gerais
 Hyundai Creta PRESTIGE ,2018, R$ 97.499 ,54240,Minas Gerais
 Chevrolet Cruze LTZ SPORT6 ,2015, R$ 69.299 ,97000,Minas Gerais
 Volkswagen Jetta COMFORTLINE ,2014, R$ 63.499 ,87000,Minas Gerais
 Volkswagen Jetta COMFORTLINE ,2013, R$ 60.299 ,109000,Minas Gerais
 Mitsubishi ASX AWD ,2014, R$ 70.499 ,85700,Minas Gerais
 Volkswagen Jetta COMFORTLINE ,2015, R$ 67.299 ,82170,Minas Gerais
 Volkswagen Tiguan TSI TURBO ,2015, R$ 75.799 ,101200,Minas Gerais
 Fiat Toro EVO FREEDOM ,2017, R$ 85.499 ,75014,Minas Gerais
 Ford Eco Sport TITANIUM ,2014, R$ 53.999 ,92000,Minas Gerais
 Chevrolet Cruze LT ,2015, R$ 62.799 ,96728,Minas Gerais
 Renault Duster Oroch DYNAMIQUE ,2016, R$ 68.299 ,104750,Minas Gerais
 Volkswagen Jetta 250 TSI TOTAL R-LINE ,2019, R$ 123.499 ,32500,Minas Gerais
 Fiat Toro EVO FREEDOM ,2017, R$ 87.299 ,29526,Minas Gerais
 Volkswagen Golf MSI COMFORTLINE TOTAL ,2016, R$ 76.499 ,66303,Minas Gerais
 Hyundai HB20S COMFORT PLUS ,2019, R$ 64.499 ,55757,Minas Gerais
 Honda Hr-V EXL ,2016, R$ 86.499 ,90251,Minas Gerais
 Nissan Kicks START SV ,2018, R$ 83.799 ,51600,Minas Gerais
 Volvo XC60 T5 R DESIGN TURBO ,2015, R$ 98.999 ,77500,Minas Gerais
 Honda Hr-V EX ,2016, R$ 84.999 ,77388,Minas Gerais
 Volkswagen Tiguan TSI TURBO ,2013, R$ 65.499 ,103550,Minas Gerais
 Volkswagen T-Cross 200 TSI TOTAL ,2020, R$ 100.999 ,32145,Minas Gerais
 Volkswagen Gol MSI TOTAL TRENDLINE ,2017, R$ 44.999 ,81246,Minas Gerais
 Honda Hr-V LX ,2018, R$ 93.799 ,39298,Minas Gerais
 Ford Eco Sport FREESTYLE ,2017, R$ 64.799 ,62008,Minas Gerais
 Ford Eco Sport SE ,2015, R$ 56.799 ,68312,Minas Gerais
 Volkswagen Voyage MSI TOTAL ,2019, R$ 53.999 ,46785,Minas Gerais
 Bmw X1 TURBO ACTIVE SDRIVE20I X-LINE ,2016, R$ 132.499 ,72218,Minas Gerais
 Suzuki Jimny 4ALL ,2015, R$ 62.999 ,100509,Minas Gerais
 Chevrolet Cruze LT ,2014, R$ 55.799 ,97619,Minas Gerais
 Mercedes Benz C 180 CGI EXCLUSIVE ,2019, R$ 168.499 ,49589,Minas Gerais
 Fiat Toro EVO FREEDOM OPEN EDITION ,2017, R$ 87.499 ,65501,Minas Gerais
 Volkswagen Amarok V6 TDI HIGHLINE CD 4MOTION ,2019, R$ 202.299 ,55935,Minas Gerais
 Chevrolet Cruze LT SPORT6 ,2016, R$ 70.299 ,54631,Minas Gerais
 Chevrolet Cruze LTZ SPORT6 ,2014, R$ 66.499 ,88480,Minas Gerais
 Hyundai ix35 MPI ,2012, R$ 63.499 ,110412,Minas Gerais
 Lifan X60 VIP ,2016, R$ 46.299 ,65180,Minas Gerais
 Volkswagen Gol MSI TOTAL ,2019, R$ 50.799 ,37164,Minas Gerais
 Hyundai ix35 MPFI GLS ,2015, R$ 76.499 ,81057,Minas Gerais
 Chevrolet Onix MPFI ACTIV ,2019, R$ 67.999 ,32720,Minas Gerais
 Honda Civic TURBO TOURING ,2019, R$ 133.499 ,54590,Minas Gerais
 Honda Civic ONE EXL ,2018, R$ 106.999 ,70500,Minas Gerais
 Volkswagen Tiguan TSI TURBO ,2013, R$ 65.799 ,93810,Minas Gerais
 Chevrolet S10 LTZ CD ,2015, R$ 103.299 ,105370,Minas Gerais
 Jeep Renegade SPORT ,2016, R$ 65.499 ,58310,Minas Gerais
 Hyundai Creta ATTITUDE ,2018, R$ 82.799 ,68005,Minas Gerais
 Hyundai ix35 MPFI GLS ,2016, R$ 81.999 ,58120,Minas Gerais
 Hyundai Creta PULSE PLUS ,2019, R$ 92.299 ,42000,Minas Gerais
 Hyundai HB20X STYLE ,2017, R$ 63.499 ,63185,Minas Gerais
 Hyundai ix35 MPFI GLS ,2017, R$ 91.299 ,57470,Minas Gerais
 Volkswagen Polo 200 TSI HIGHLINE ,2020, R$ 88.999 ,32470,Minas Gerais
 Chevrolet Cruze TURBO LT ,2018, R$ 87.799 ,52330,Minas Gerais
 Jeep Renegade LIMITED ,2017, R$ 77.799 ,54168,Minas Gerais
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 92.299 ,25996,Minas Gerais
 Fiat Toro EVO ENDURANCE ,2020, R$ 93.999 ,34730,Minas Gerais
 Honda City LX ,2016, R$ 67.299 ,56972,Minas Gerais
 Volkswagen Polo 200 TSI HIGHLINE ,2020, R$ 88.999 ,35000,Minas Gerais
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 72.299 ,42455,Minas Gerais
 Honda City DX ,2019, R$ 70.299 ,34700,Minas Gerais
 Jeep Renegade LONGITUDE ,2016, R$ 70.799 ,88915,Minas Gerais
 Bmw 320i SPORT TURBO ACTIVE ,2018, R$ 153.999 ,35730,Minas Gerais
 Audi A4 TFSI AMBIENTE ,2018, R$ 139.499 ,62801,Minas Gerais
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 83.499 ,29477,Minas Gerais
 Hyundai Creta SMART ,2019, R$ 88.799 ,43900,Minas Gerais
 Fiat Toro EVO ENDURANCE ,2019, R$ 90.499 ,30380,Minas Gerais
 Chevrolet Cruze LT ,2015, R$ 63.299 ,78000,Minas Gerais
 Volkswagen Jetta TSI TRENDLINE ,2016, R$ 69.999 ,108000,Minas Gerais
 Volkswagen Jetta COMFORTLINE ,2014, R$ 63.999 ,69160,Minas Gerais
 Renault Captur SCE  INTENSE ,2020, R$ 85.299 ,44031,Minas Gerais
 Honda City LX ,2015, R$ 61.799 ,80807,Minas Gerais
 Audi A3 TFSI  SEDAN PRESTIGE PLUS ,2020, R$ 145.499 ,13584,Minas Gerais
 Mitsubishi Eclipse Cross MIVEC TURBO GLS ,2020, R$ 129.499 ,16552,Minas Gerais
 Renault Captur SCE LIFE ,2019, R$ 79.799 ,40458,Minas Gerais
 Volkswagen Tiguan TSI TURBO ,2015, R$ 75.499 ,112000,Minas Gerais
 Renault Duster DAKAR ,2016, R$ 56.299 ,98770,São Paulo
 Ford Focus S ,2014, R$ 47.999 ,93040,São Paulo
 Volkswagen Golf TSI VARIANT COMFORTLINE ,2016, R$ 80.999 ,100680,São Paulo
 Bmw 320i SPORT GP TURBO ACTIVE ,2018, R$ 152.499 ,60050,São Paulo
 Mercedes Benz B 200 SPORT TURBO ,2015, R$ 85.499 ,69290,São Paulo
 Chevrolet Cruze TURBO LTZ ,2018, R$ 92.499 ,60615,São Paulo
 Jeep Renegade SPORT ,2018, R$ 70.999 ,56120,São Paulo
 Jeep Compass SPORT ,2018, R$ 96.799 ,67609,São Paulo
 Honda Hr-V EX ,2017, R$ 90.499 ,48598,São Paulo
 Chevrolet Cruze TURBO LTZ ,2017, R$ 86.299 ,58013,São Paulo
 Volkswagen Golf TSI HIGHLINE TOTAL ,2017, R$ 112.499 ,42630,São Paulo
 Ford Fusion TITANIUM AWD ,2018, R$ 114.799 ,41591,São Paulo
 Ford Eco Sport TITANIUM PLUS ,2015, R$ 58.299 ,84380,São Paulo
 Renault Captur SCE LIFE ,2019, R$ 80.299 ,19600,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,69000,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,47520,São Paulo
