Modelo,Ano,Preço,KM,Estado
 Peugeot 2008 ALLURE BUSINESS ,2018, R$ 62.299 ,50100,Rio de Janeiro
 Audi A4 TFSI ATTRACTION ,2016, R$ 99.499 ,32150,São Paulo
 Nissan Kicks START S DIRECT ,2019, R$ 84.799 ,27110,São Paulo
 Ford Eco Sport SE ,2015, R$ 56.499 ,80515,São Paulo
 Jeep Compass LONGITUDE ,2020, R$ 114.999 ,29304,Rio de Janeiro
 Jeep Renegade STD ,2020, R$ 79.799 ,34805,São Paulo
 Nissan Kicks START S ,2020, R$ 85.499 ,15200,São Paulo
 Renault Captur SCE LIFE ,2019, R$ 79.999 ,31185,São Paulo
 Nissan Kicks START SV ,2019, R$ 87.499 ,58640,São Paulo
 Lifan X80 TURBO VIP ,2019, R$ 94.999 ,48000,São Paulo
 Renault Duster SCE AUTHENTIQUE ,2020, R$ 78.799 ,13000,São Paulo
 Ford Focus SE HATCH ,2014, R$ 49.299 ,63110,São Paulo
 Ford Ranger XLS CD ,2017, R$ 100.299 ,56000,Minas Gerais
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 72.299 ,46000,São Paulo
 Hyundai Creta PULSE PLUS ,2020, R$ 98.799 ,17500,Minas Gerais
 Volkswagen Jetta COMFORTLINE ,2014, R$ 60.299 ,81000,São Paulo
 Volkswagen Golf TSI COMFORTLINE TOTAL ,2017, R$ 75.799 ,88115,São Paulo
 Nissan Kicks START S ,2020, R$ 88.799 ,34423,São Paulo
 Suzuki Vitara TURBO 4SPORT ALLGRIP ,2018, R$ 103.499 ,70000,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,66780,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.999 ,27450,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 66.299 ,57000,São Paulo
 Jeep Renegade SPORT ,2017, R$ 69.999 ,88130,Minas Gerais
 Hyundai Creta ATTITUDE ,2019, R$ 85.999 ,32840,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.799 ,88540,São Paulo
 Fiat Argo FIREFLY FLEX TREKKING ,2021, R$ 74.299 ,11674,São Paulo
 Citroën C4 Lounge MPFI TENDANCE ,2016, R$ 53.799 ,30120,Rio de Janeiro
 Chevrolet Onix MPFI ACTIV ,2017, R$ 60.299 ,79200,Minas Gerais
 Dodge Journey SXT V6 ,2013, R$ 55.799 ,100200,São Paulo
 Jeep Compass LONGITUDE ,2019, R$ 111.999 ,40363,São Paulo
 Toyota HILUX SW4 SRX 7L V6 ,2017, R$ 191.799 ,109760,Minas Gerais
 Fiat Bravo ABSOLUTE ,2012, R$ 32.299 ,105100,São Paulo
 Honda Civic TURBO TOURING ,2017, R$ 118.799 ,65740,São Paulo
 Nissan Kicks START SL ,2017, R$ 82.299 ,73080,São Paulo
 Suzuki Grand Vitara 4X2 AUTOMATICO GASOLINA ,2016, R$ 71.799 ,69600,São Paulo
 Hyundai HB20S PREMIUM ,2018, R$ 69.999 ,42800,São Paulo
 Ford Fusion AUTOMATICO FLEX ,2014, R$ 65.499 ,102480,São Paulo
 Ford Eco Sport TITANIUM ,2014, R$ 54.299 ,82800,São Paulo
 Bmw 225i CAT SPORT GP TURBO ,2016, R$ 107.799 ,49000,São Paulo
 Volkswagen Virtus 200 TSI HIGHLINE ,2020, R$ 88.299 ,37040,São Paulo
 Hyundai Santa Fé MPFI V6 ,2014, R$ 91.299 ,90000,São Paulo
 Ford Focus S SEDAN ,2014, R$ 50.799 ,60250,São Paulo
 Citroën Aircross EXCLUSIVE ,2014, R$ 40.799 ,105000,São Paulo
 Bmw 318i SEDAN ,2012, R$ 56.999 ,96000,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.299 ,94000,São Paulo
 Suzuki Grand Vitara GASOLINA MANUAL ,2012, R$ 44.799 ,88109,São Paulo
 Hyundai HB20S PREMIUM ,2015, R$ 55.299 ,102400,Minas Gerais
 Hyundai HB20 COMFORT PLUS ,2017, R$ 56.299 ,53044,Minas Gerais
 Honda Civic LXR ,2016, R$ 75.299 ,96884,São Paulo
 Hyundai HB20S COMFORT PLUS ,2015, R$ 52.299 ,69641,São Paulo
 Honda Hr-V LX ,2017, R$ 85.799 ,78342,São Paulo
 Hyundai HB20 UNIQUE ,2019, R$ 55.799 ,30084,São Paulo
 Renault Sandero SCE EXPRESSION ,2019, R$ 51.499 ,36100,Minas Gerais
 Bmw X3 20I ,2015, R$ 123.999 ,109700,São Paulo
 Ford Fiesta TITANIUM PLUS HATCH ,2016, R$ 58.499 ,80533,Rio de Janeiro
 Jac T40 GASOLINA CVT ,2019, R$ 69.299 ,20878,São Paulo
 Fiat Uno EVO VIVACE ,2013, R$ 32.799 ,93299,São Paulo
 Honda Fit DX ,2017, R$ 71.799 ,61897,São Paulo
 Chevrolet Agile MPFI LTZ ,2013, R$ 34.999 ,90372,Minas Gerais
 Fiat Idea MPI ATTRACTIVE ,2013, R$ 34.299 ,100978,São Paulo
 Chevrolet Onix MPFI LTZ ,2016, R$ 56.299 ,86912,São Paulo
 Volkswagen Fox MI ,2014, R$ 41.799 ,73280,São Paulo
 Volkswagen Fox MI ,2014, R$ 41.299 ,95529,São Paulo
 Chevrolet Prisma MPFI JOY ,2019, R$ 53.799 ,42373,Minas Gerais
 Chevrolet Spin LTZ ,2015, R$ 55.999 ,99804,São Paulo
 Volkswagen Up MPI TAKE UP ,2015, R$ 34.499 ,80645,São Paulo
 Chevrolet Onix MPFI LTZ ,2015, R$ 50.299 ,91940,São Paulo
 Citroën C4 Lounge THP FEEL BVA ,2019, R$ 76.299 ,27763,São Paulo
 Peugeot 307 PRESENCE PACK ,2012, R$ 30.299 ,97028,São Paulo
 Ford Fiesta TITANIUM HATCH ,2015, R$ 51.499 ,88397,São Paulo
 Chevrolet Onix MPFI LT ,2013, R$ 40.299 ,77701,São Paulo
 Renault Sandero EXPRESSION ,2015, R$ 39.299 ,93864,Minas Gerais
 Volkswagen Fox MI ,2014, R$ 41.499 ,92715,São Paulo
 Hyundai HB20 COMFORT PLUS ,2014, R$ 43.299 ,81249,Rio de Janeiro
 Fiat Siena MPI ESSENCE ,2013, R$ 37.499 ,90930,São Paulo
 Volkswagen Fox MI ,2013, R$ 38.999 ,110607,São Paulo
 Bmw 328i SPORT GP ACTIVE ,2015, R$ 133.499 ,91485,São Paulo
 Fiat Uno EVO WAY ,2015, R$ 38.299 ,101376,São Paulo
 Fiat 500 CULT ,2012, R$ 41.799 ,109373,São Paulo
 Chevrolet Onix MPFI LTZ ,2014, R$ 47.999 ,93999,Minas Gerais
 Hyundai HB20 COMFORT ,2017, R$ 50.799 ,71502,São Paulo
 Ford Fiesta TITANIUM HATCH ,2015, R$ 51.299 ,102140,Minas Gerais
 Hyundai ix35 MPFI GL ,2018, R$ 88.999 ,48400,São Paulo
 Volkswagen Gol MPI TOTAL ,2019, R$ 47.999 ,42410,São Paulo
 Fiat Toro ENDURANCE AT6 ,2022, R$ 115.999 ,13000,Rio de Janeiro
 Volkswagen Golf TSI VARIANT COMFORTLINE TOTAL ,2017, R$ 78.999 ,78810,São Paulo
 Fiat Bravo SPORTING ,2016, R$ 54.999 ,92300,Rio de Janeiro
 Citroën Aircross GLX ,2013, R$ 37.499 ,75500,Rio de Janeiro
 Ford Ka TIVCT SE PLUS ,2019, R$ 48.999 ,44100,São Paulo
 Ford Ka + SIGMA SE ,2018, R$ 47.999 ,57370,São Paulo
 Volkswagen Jetta COMFORTLINE ,2016, R$ 70.799 ,87865,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 78.299 ,51000,São Paulo
 Renault Duster DYNAMIQUE ,2016, R$ 56.799 ,104370,São Paulo
 Chevrolet S10 LTZ CD ,2018, R$ 141.299 ,86892,São Paulo
 Jeep Compass SPORT ,2019, R$ 105.299 ,26290,Rio de Janeiro
 Ford Eco Sport DIRECT TITANIUM ,2019, R$ 80.999 ,64000,Rio de Janeiro
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,64140,São Paulo
 Honda Civic ONE SPORT ,2018, R$ 100.799 ,16000,Rio de Janeiro
 Ford Focus TITANIUM ,2015, R$ 56.499 ,62333,São Paulo
 Peugeot 2008 ALLURE ,2017, R$ 58.299 ,82000,São Paulo
 Jeep Renegade STD ,2018, R$ 73.299 ,46760,São Paulo
 Ford Ka SIGMA SE TRAIL ,2018, R$ 46.999 ,65200,São Paulo
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 71.999 ,51170,São Paulo
 Volkswagen Voyage MI ,2015, R$ 41.299 ,78020,São Paulo
 Lifan X80 TURBO VIP ,2019, R$ 95.299 ,40466,São Paulo
 Volkswagen Polo MSI TOTAL ,2018, R$ 62.499 ,44130,São Paulo
 Ford Ka + SIGMA SE ,2015, R$ 40.799 ,88800,São Paulo
 Audi A3 TFSI SEDAN ATTRACTION ,2018, R$ 103.499 ,44660,São Paulo
 Mitsubishi ASX AWD ,2014, R$ 70.499 ,89280,São Paulo
 Kia Sportage EX ,2019, R$ 129.499 ,29500,São Paulo
 Volkswagen Golf TSI VARIANT COMFORTLINE TOTAL ,2017, R$ 79.499 ,63760,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2019, R$ 76.299 ,52470,São Paulo
 Jeep Renegade STD ,2018, R$ 72.999 ,57340,São Paulo
 Peugeot 2008 GRIFFE ,2017, R$ 62.799 ,82377,São Paulo
 Chevrolet Cruze TURBO  SPORT6 PREMIER ,2020, R$ 121.799 ,21400,São Paulo
 Ford Ka + SIGMA SEL ,2017, R$ 46.799 ,102760,São Paulo
 Jeep Renegade SPORT ,2016, R$ 64.499 ,96380,Minas Gerais
 Fiat Freemont PRECISION ,2012, R$ 49.299 ,104640,São Paulo
 Lifan X60 TALENT ,2016, R$ 45.999 ,80770,Rio de Janeiro
 Jeep Renegade SPORT ,2018, R$ 74.299 ,42750,São Paulo
 Hyundai Creta PRESTIGE ,2020, R$ 107.499 ,38000,Rio de Janeiro
 Jeep Renegade STD ,2017, R$ 69.299 ,64070,São Paulo
 Volkswagen Gol MPI TOTALFLEX ,2021, R$ 53.999 ,19110,São Paulo
 Hyundai ix35 GL ,2021, R$ 111.999 ,25760,São Paulo
 Jeep Renegade STD ,2018, R$ 73.299 ,51320,São Paulo
 Fiat Toro EVO FREEDOM ,2019, R$ 97.499 ,32340,São Paulo
 Nissan Tiida SL ,2012, R$ 36.999 ,72460,São Paulo
 Volkswagen Voyage MI ,2014, R$ 36.799 ,74550,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.999 ,67420,São Paulo
 Volvo XC60 T5 DYNAMIC FWD TURBO ,2015, R$ 87.799 ,106150,São Paulo
 Fiat Mobi EVO WAY ,2018, R$ 43.999 ,83450,São Paulo
 Honda Hr-V EX ,2017, R$ 90.799 ,65430,São Paulo
 Volkswagen Voyage MI COMFORTLINE I-MOTION ,2015, R$ 42.799 ,94400,São Paulo
 Mercedes Benz CLC 200 K KOMPRESSOR ,2011, R$ 57.999 ,86700,São Paulo
 Jeep Compass LONGITUDE ,2019, R$ 111.999 ,38525,São Paulo
 Jeep Renegade STD ,2016, R$ 65.799 ,90000,São Paulo
 Citroën C4 Lounge MPFI TENDANCE ,2015, R$ 46.499 ,100560,São Paulo
 Ford Fusion TITANIUM FWD ,2015, R$ 77.299 ,97790,Minas Gerais
 Jeep Compass 2.0 FLEX LONGITUDE ,2021, R$ 129.799 ,18000,Minas Gerais
 Mini Cooper S EXCLUSIVE TURBO ,2016, R$ 116.999 ,56000,São Paulo
 Ford Fiesta SE HATCH ,2016, R$ 46.499 ,64000,São Paulo
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2014, R$ 67.499 ,101230,São Paulo
 Volkswagen Voyage MSI TOTAL ,2019, R$ 59.799 ,52000,Rio de Janeiro
 Citroën Aircross GLX ,2012, R$ 34.799 ,92220,São Paulo
 Ford Ka TI-VCT SE ,2019, R$ 48.999 ,43480,São Paulo
 Volkswagen Golf MI SPORTLINE LIMITED EDITION ,2012, R$ 44.999 ,88640,São Paulo
 Volkswagen Jetta I VARIANT ,2011, R$ 49.799 ,97850,São Paulo
 Citroën C3 Sonora GLX ,2011, R$ 21.799 ,100500,Rio de Janeiro
 Peugeot 2008 THP GRIFFE ,2017, R$ 64.799 ,80006,São Paulo
 Jeep Renegade STD ,2018, R$ 73.499 ,44280,Rio de Janeiro
 Volkswagen T-Cross 200 TSI TOTAL SENSE ,2020, R$ 93.299 ,15590,Minas Gerais
 Jeep Renegade LONGITUDE ,2019, R$ 80.299 ,55700,São Paulo
 Ford Focus SE HATCH ,2014, R$ 48.499 ,106215,São Paulo
 Volkswagen Golf MI BLACK EDITION ,2012, R$ 48.299 ,93636,São Paulo
 Ford Eco Sport SE ,2017, R$ 62.499 ,50540,São Paulo
 Volkswagen Jetta COMFORTLINE ,2015, R$ 62.999 ,104000,Minas Gerais
 Jeep Renegade TURBO TRAILHAWK ,2016, R$ 99.799 ,98090,São Paulo
 Jeep Compass LIMITED ,2019, R$ 125.299 ,51000,São Paulo
 Chevrolet Cruze LT SPORT6 ,2015, R$ 65.999 ,71660,São Paulo
 Nissan Kicks START SV ,2017, R$ 80.299 ,70000,São Paulo
 Renault Duster SCE EXPRESSION ,2019, R$ 70.299 ,19430,São Paulo
 Ford Fusion TITANIUM AWD ,2015, R$ 77.299 ,77675,São Paulo
 Honda City DX ,2017, R$ 69.799 ,47427,São Paulo
 Volkswagen Fox MI TREND ,2010, R$ 27.299 ,106610,São Paulo
 Chevrolet Equinox 2.0 TURBO PREMIER AWD ,2020, R$ 158.999 ,13000,São Paulo
 Audi A3 TFSI SEDAN ATTRACTION ,2017, R$ 89.499 ,95080,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.999 ,39170,São Paulo
 Ford Eco Sport FREESTYLE ,2014, R$ 53.499 ,72000,São Paulo
 Citroën Aircross TENDANCE ,2015, R$ 42.799 ,94520,São Paulo
 Volkswagen Voyage MSI TOTAL TRENDLINE ,2017, R$ 46.799 ,78050,São Paulo
 Audi A4 TFSI ATTRACTION ,2018, R$ 120.799 ,44180,São Paulo
 Jeep Renegade STD ,2016, R$ 65.299 ,59130,São Paulo
 Ford Ka + SIGMA SEL ,2015, R$ 42.499 ,95220,São Paulo
 Ford Focus TITANIUM SEDAN ,2013, R$ 43.299 ,106875,Minas Gerais
 Kia Sportage LX ,2019, R$ 106.999 ,49270,São Paulo
 Fiat Palio MPI ATTRACTIVE ,2014, R$ 33.999 ,42450,São Paulo
 Volkswagen Jetta I VARIANT ,2011, R$ 50.299 ,66155,São Paulo
 Chevrolet Cruze LT ,2012, R$ 49.299 ,92240,São Paulo
 Ford Ka + TI-VCT SE ,2018, R$ 47.799 ,62250,São Paulo
 Hyundai ix35 MPI ,2013, R$ 66.999 ,79380,São Paulo
 Hyundai Elantra GLS ,2015, R$ 65.799 ,45000,Minas Gerais
 Volkswagen Voyage MSI TOTAL ,2019, R$ 53.999 ,42720,São Paulo
 Ford Eco Sport TI-VCT SE ,2019, R$ 73.799 ,40749,Minas Gerais
 Honda Civic TURBO TOURING ,2019, R$ 135.299 ,17460,São Paulo
 Ford Focus GLX SEDAN ,2012, R$ 34.299 ,110360,São Paulo
 Volkswagen Gol MI SPECIAL ,2015, R$ 36.299 ,93830,São Paulo
 Citroën C4 Lounge MPFI TENDANCE ,2014, R$ 45.299 ,100280,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2019, R$ 153.299 ,36359,São Paulo
 Ford Eco Sport TITANIUM ,2013, R$ 50.999 ,110530,São Paulo
 Renault Captur SCE INTENSE ,2018, R$ 79.299 ,51030,São Paulo
 Bmw X1 18I S-DRIVE ,2012, R$ 62.499 ,65130,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2017, R$ 126.999 ,57690,São Paulo
 Lifan X60 TALENT ,2016, R$ 46.499 ,57060,São Paulo
 Ford Ranger XSL CD ,2021, R$ 185.299 ,10200,São Paulo
 Renault Duster DYNAMIQUE ,2017, R$ 63.799 ,77500,São Paulo
 Ford Eco Sport TITANIUM ,2013, R$ 51.299 ,96260,São Paulo
 Fiat Bravo BLACKMOTION ,2016, R$ 50.299 ,72350,São Paulo
 Audi A3 TFSI SEDAN AMBIENTE ,2016, R$ 81.299 ,80350,São Paulo
 Renault Captur HI- INTENSE ,2018, R$ 78.499 ,60600,São Paulo
 Hyundai Creta ATTITUDE ,2017, R$ 81.499 ,55000,São Paulo
 Chevrolet Tracker TURBO LT ,2017, R$ 81.799 ,53830,São Paulo
 Chery Tiggo 5x VVT TURBO i TXS DCT ,2020, R$ 105.499 ,38790,São Paulo
 Hyundai ix35 MPFI GL ,2018, R$ 88.499 ,61320,São Paulo
 Volkswagen Jetta COMFORTLINE ,2015, R$ 66.499 ,110020,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE TURBO ,2015, R$ 108.799 ,90250,São Paulo
 Kia Sorento EX 7L AWD ,2019, R$ 156.499 ,39380,São Paulo
 Ford Fusion TITANIUM FWD ,2016, R$ 83.999 ,78200,São Paulo
 Chevrolet Prisma MPFI LTZ ,2019, R$ 68.999 ,40300,São Paulo
 Bmw 320i SPORT GP TURBO ACTIVE ,2018, R$ 151.299 ,78121,São Paulo
 Renault Captur SCE INTENSE ,2019, R$ 81.999 ,41106,São Paulo
 Chevrolet S10 LT CD ,2014, R$ 82.799 ,95290,São Paulo
 Jeep Renegade LONGITUDE ,2019, R$ 80.499 ,43419,São Paulo
 Volkswagen Golf TSI VARIANT HIGHLINE ,2015, R$ 79.799 ,74633,São Paulo
 Toyota Corolla XEI ,2015, R$ 78.999 ,94360,São Paulo
 Honda Fit LX ,2016, R$ 64.799 ,101546,São Paulo
 Hyundai HB20S COMFORT PLUS ,2017, R$ 52.299 ,92770,São Paulo
 Ford Ranger XLS CD ,2020, R$ 154.799 ,34310,São Paulo
 Fiat Palio MPI FIRE ,2015, R$ 27.499 ,85060,São Paulo
 Jeep Renegade LONGITUDE ,2018, R$ 78.799 ,51314,São Paulo
 Ford Focus SE ,2015, R$ 54.499 ,61310,São Paulo
 Fiat Toro EVO FREEDOM ,2019, R$ 97.299 ,41000,São Paulo
 Nissan Frontier TURBO ATTACK CD ,2020, R$ 174.299 ,43710,São Paulo
 Chevrolet Prisma MPFI LT ,2019, R$ 63.799 ,29160,São Paulo
 Volkswagen Tiguan TSI TURBO ,2013, R$ 65.799 ,94450,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2018, R$ 138.299 ,76187,Rio de Janeiro
 Jeep Compass NIGHT EAGLE ,2018, R$ 109.299 ,39670,São Paulo
 Ford Eco Sport TITANIUM ,2015, R$ 58.299 ,84000,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.999 ,66023,São Paulo
 Volkswagen Tiguan TSI TURBO ,2014, R$ 67.299 ,109000,São Paulo
 Hyundai HB20S COMFORT STYLE ,2016, R$ 51.299 ,71670,São Paulo
 Volkswagen Gol MI G.VI ,2014, R$ 35.999 ,86000,São Paulo
 Jeep Renegade LIMITED ,2018, R$ 79.999 ,75000,São Paulo
 Ford Fusion AUTOMATICO FLEX ,2014, R$ 65.999 ,80010,São Paulo
 Renault Duster ICONIC X-TRONIC ,2021, R$ 95.799 ,20154,São Paulo
 Mitsubishi Outlander AUTOMATICO GASOLINA ,2015, R$ 73.499 ,71790,São Paulo
 Jeep Renegade STD ,2018, R$ 73.499 ,41300,São Paulo
 Citroën Aircross GLX ATACAMA ,2014, R$ 38.299 ,95636,São Paulo
 Volkswagen Polo MSI TOTAL ,2019, R$ 66.999 ,28020,São Paulo
 Peugeot 2008 ALLURE ,2017, R$ 58.299 ,78000,São Paulo
 Nissan Kicks START SL ,2019, R$ 94.299 ,28680,São Paulo
 Fiat Toro MULTIAIR FREEDOM ,2018, R$ 95.999 ,68380,São Paulo
 Chery Tiggo 5x VVT TURBO i TXS DCT ,2020, R$ 105.999 ,28535,São Paulo
 Chery Tiggo 5x VVT TURBO i TXS DCT ,2020, R$ 105.999 ,29240,São Paulo
 Honda Hr-V EX ,2017, R$ 91.999 ,28665,São Paulo
 Jeep Renegade SPORT ,2019, R$ 79.799 ,33000,São Paulo
 Jeep Renegade LIMITED ,2020, R$ 98.299 ,24670,São Paulo
 Jeep Renegade STD ,2021, R$ 85.299 ,11010,São Paulo
 Lifan X60 VIP ,2016, R$ 46.499 ,59780,São Paulo
 Chevrolet Cruze TURBO SPORT6 LT ,2018, R$ 87.799 ,44000,São Paulo
 Jeep Renegade STD ,2021, R$ 84.999 ,13000,São Paulo
 Renault Captur BOSE ,2021, R$ 98.799 ,16290,Rio de Janeiro
 Volkswagen Tiguan TSI TURBO ,2013, R$ 65.499 ,100360,São Paulo
 Volkswagen Jetta TSI COMFORTLINE ,2016, R$ 73.299 ,86100,São Paulo
 Honda Fit LX ,2015, R$ 59.999 ,87000,São Paulo
 Jeep Renegade STD ,2017, R$ 69.299 ,63030,São Paulo
 Chevrolet Cruze TURBO LT ,2018, R$ 87.799 ,49360,São Paulo
 Ford Focus GLX SEDAN ,2013, R$ 36.999 ,95090,São Paulo
 Volkswagen Tiguan TSI TURBO ,2015, R$ 76.499 ,75000,São Paulo
 Audi A4 TFSI LAUNCH EDITION ,2016, R$ 126.299 ,76290,São Paulo
 Lifan X60 VIP ,2018, R$ 56.799 ,60000,Rio de Janeiro
 Citroën Aircross GLX ,2014, R$ 37.999 ,98310,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2014, R$ 77.299 ,103000,São Paulo
 Volkswagen Tiguan TSI TURBO ,2015, R$ 76.299 ,79000,São Paulo
 Honda Fit EXL ,2018, R$ 82.299 ,25000,Rio de Janeiro
 Bmw 320i TURBO SPORT GP ,2020, R$ 217.499 ,31650,Rio de Janeiro
 Fiat Cronos E.TORQ PRECISION ,2019, R$ 71.799 ,56000,São Paulo
 Audi A3 TFSI SEDAN ,2015, R$ 74.299 ,84840,Minas Gerais
 Honda City EXL ,2015, R$ 64.299 ,90190,São Paulo
 Fiat Toro EVO FREEDOM ,2018, R$ 90.299 ,55000,São Paulo
 Volkswagen Tiguan TSI TURBO ,2014, R$ 67.499 ,98476,São Paulo
 Honda Civic ONE SPORT ,2017, R$ 95.499 ,81644,São Paulo
 Honda City EX ,2015, R$ 64.799 ,52160,São Paulo
 Hyundai Creta SPORT ,2018, R$ 92.499 ,25720,Rio de Janeiro
 Renault Duster SCE DYNAMIQUE ,2020, R$ 78.799 ,32020,São Paulo
 Jeep Renegade SPORT ,2017, R$ 71.499 ,34330,São Paulo
 Mitsubishi Outlander GT V6 ,2015, R$ 87.299 ,104380,São Paulo
 Ford Eco Sport TITANIUM ,2013, R$ 50.999 ,111090,São Paulo
 Ford Focus GL SEDAN ,2013, R$ 35.999 ,104110,Rio de Janeiro
 Bmw X1 18I S-DRIVE ,2012, R$ 61.499 ,103000,São Paulo
 Fiat Cronos FIREFLY  DRIVE ,2020, R$ 66.999 ,22000,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 105.799 ,43000,São Paulo
 Renault Captur SCE INTENSE ,2019, R$ 81.999 ,43200,São Paulo
 Audi A3 TFSI SEDAN AMBIENTE ,2016, R$ 80.799 ,87285,São Paulo
 Mercedes Benz CLA 200 VISION ,2016, R$ 135.999 ,69634,São Paulo
 Mercedes Benz GLA 250 TURBO ENDURO ,2016, R$ 140.799 ,52390,São Paulo
 Hyundai Elantra AUTOMATICO FLEX ,2017, R$ 74.999 ,53131,São Paulo
 Ford Ranger LIMITED CD ,2018, R$ 169.299 ,75750,São Paulo
 Hyundai HB20S PREMIUM ,2017, R$ 64.999 ,60550,São Paulo
 Honda Fit EX ,2016, R$ 65.499 ,82357,São Paulo
 Kia Sportage EX ,2019, R$ 128.499 ,50320,São Paulo
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 82.799 ,51305,São Paulo
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 83.299 ,34425,São Paulo
 Mercedes Benz C 180 CGI SPORT TURBO ,2014, R$ 75.999 ,79320,São Paulo
 Audi Q3 TFSI ATTRACTION ,2017, R$ 115.299 ,58163,São Paulo
 Volkswagen Jetta COMFORTLINE ,2013, R$ 57.299 ,101000,São Paulo
 Bmw 328i M SPORT ACTIVE ,2018, R$ 188.499 ,49000,São Paulo
 Honda Civic TURBO TOURING ,2018, R$ 126.499 ,51250,São Paulo
 Jeep Compass SPORT ,2018, R$ 97.799 ,40000,São Paulo
 Nissan Kicks START S ,2020, R$ 89.299 ,25600,Minas Gerais
 Jeep Renegade SPORT ,2016, R$ 68.799 ,37510,São Paulo
 Hyundai Creta SMART ,2019, R$ 89.299 ,28155,São Paulo
 Mitsubishi ASX AUTOMATICO GASOLINA ,2015, R$ 74.799 ,59380,São Paulo
 Volkswagen Polo 200 TSI HIGHLINE ,2020, R$ 89.499 ,24000,Rio de Janeiro
 Volkswagen Polo 200 TSI HIGHLINE ,2019, R$ 83.299 ,36000,São Paulo
 Nissan Kicks START SL ,2017, R$ 82.299 ,76310,São Paulo
 Chevrolet Cruze TURBO LT ,2019, R$ 95.299 ,21060,São Paulo
 Honda City EX ,2017, R$ 72.999 ,71355,São Paulo
 Volkswagen Virtus 200 TSI COMFORTLINE ,2019, R$ 80.499 ,26314,São Paulo
 Bmw 320i M SPORT GP TURBO ACTIVE ,2018, R$ 160.799 ,72000,São Paulo
 Audi A3 TFSI SEDAN ATTRACTION ,2018, R$ 103.999 ,35700,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.999 ,66441,São Paulo
 Ford Eco Sport TIVCT FREESTYLE ,2018, R$ 73.999 ,41790,São Paulo
 Jeep Renegade LONGITUDE ,2018, R$ 78.799 ,49400,São Paulo
 Honda Fit EX ,2019, R$ 84.799 ,15600,São Paulo
 Citroën Aircross EXCLUSIVE ,2015, R$ 45.499 ,79590,São Paulo
 Ford Fusion AUTOMATICO FLEX ,2016, R$ 74.499 ,73872,São Paulo
 Toyota Corolla GLI ,2015, R$ 69.999 ,87752,São Paulo
 Chevrolet Tracker TURBO LT ,2017, R$ 80.999 ,77702,Rio de Janeiro
 Fiat Toro EVO FREEDOM ,2017, R$ 86.499 ,47023,São Paulo
 Hyundai Creta PRESTIGE ,2020, R$ 108.299 ,19000,Rio de Janeiro
 Volkswagen Virtus 200 TSI HIGHLINE ,2018, R$ 80.799 ,20684,São Paulo
 Ford Fiesta SE HATCH ,2015, R$ 40.499 ,83010,São Paulo
 Fiat Toro EVO ENDURANCE ,2019, R$ 90.299 ,38565,São Paulo
 Hyundai HB20X STYLE ,2017, R$ 60.299 ,60330,São Paulo
 Jeep Renegade LIMITED ,2018, R$ 81.299 ,36000,São Paulo
 Lifan X60 VIP ,2018, R$ 56.999 ,47889,São Paulo
 Ford Ka TI-VCT SE ,2019, R$ 51.499 ,58000,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.799 ,61100,São Paulo
 Mercedes Benz C 250 CGI SPORT ,2015, R$ 152.799 ,45000,São Paulo
 Renault Captur HI- INTENSE ,2018, R$ 79.799 ,23230,São Paulo
 Ford Fusion TITANIUM FWD ,2017, R$ 102.799 ,64550,São Paulo
 Jeep Renegade LIMITED ,2018, R$ 80.999 ,46040,Minas Gerais
 Hyundai ix35 MPI ,2013, R$ 66.999 ,81530,São Paulo
 Nissan Kicks START SL ,2018, R$ 86.299 ,48720,São Paulo
 Jeep Renegade SPORT ,2020, R$ 83.999 ,6059,Rio de Janeiro
 Hyundai ix35 MPFI GL ,2017, R$ 90.299 ,80000,São Paulo
 Chevrolet Cruze LT ,2014, R$ 53.299 ,78450,São Paulo
 Ford Focus S SEDAN ,2015, R$ 54.499 ,59509,São Paulo
